Company/Product,Founder,Gender,Season,Episode,Qualtrics number,Deal Offered,Deal Made,# of sharks interested,Valuation Sought (in M),Valuation Got (M),Percentage Got,Evaluation Notes,OG Order,video_id,professionalism Mean,unprofessionalism Mean,status,presenter_effectiveness,product_effectiveness,presenter_impression,masculinity,femininity,gender_typicality,warmth,conscientiousness,competence,professionalism_factor,incompetence,incivility,unprofessionalism_factor
Postcard On The Run,Josh Brooks,M,5,1,Male success 18,Yes,Yes,1,6,4,66.67,,4,M18_S,6.3,1.4,5.466667,5.95,5,5.166667,5.833333,,5.833333,6.025,6.05,6.225,6.1,1.575,1.633333,1.604167
Man Medals,Jim O’Brien,M,5,2,Male fail 13,No,No,0,-,-,-,,5,M13_F,5.25,2.583333,3.5,5.366667,4.277778,5.166667,5.5,,5.5,5.729167,5.041667,5.083333,5.284722,2.5,2.416667,2.458333
Fairytale Wishes,Debbie Glickman,F,5,3,Female fail 6,No,No,0,-,-,-,,3,F6_F,5.916667,1.75,4.944444,5.2,4.277778,4.722222,,6.666667,6.666667,6.3125,5.5625,5.5625,5.8125,1.291667,1.277778,1.284722
Sunday Night Slow Jams,R Dub,M,5,4,Male fail 21,No,No,0,-,-,-,,6,M21_F,5.583333,2.25,4.555556,5.533333,4.277778,4,4.833333,,4.833333,5.458333,5.458333,5.25,5.388889,2.270833,2.166667,2.21875
Ten Thirty One Productions,Melissa Carbone,F,5,6,Female success 20,Yes,Yes,2,20,10,50,,10,F20_S,5.636364,2.272727,5.181818,4.266667,5.388889,4.888889,,5,5,5.204545,5.295455,5.583333,5.361111,1.772727,1.757576,1.765152
180 CUP,Soloman Falls,M,5,7,Male success 1,Yes,Yes,1,2,1.2,60,,1,M1_S,5.142857,2.714286,3.809524,5,2.666667,2.666667,6,,6,5.392857,4.821429,4.857143,5.02381,2.285714,1.571429,1.928571
Tree T Pee,Johnny Georges,M,5,7,Male success 23,Yes,Yes,1,0.75,0.75,100,,2,M23_S,4,3.9,4.1,3.9,4.75,5.5,4.833333,,4.833333,4.858333,4.625,4.775,4.752778,3.225,2.066667,2.645833
Paparazzi Proposals,James Ambler,M,5,8,Male success 15,Yes,Yes,3,1.25,N/A,N/A,$50k for a 33% stake + $200k as a loan,8,M15_S,6,1.916667,4.972222,5.233333,4.888889,5.222222,6,,6,5.375,5.333333,5.416667,5.375,2.0625,1.861111,1.961806
PetPaint,Abe Geary,M,5,8,Male fail 19,Yes,No,1,-,-,-,,7,M19_F,5.8,2.4,4.633333,5.72,5,6.333333,5.2,,5.2,6.05,5.7,6,5.916667,1.725,1.466667,1.595833
Schulzies Bread Pudding,Sarah Schulz,F,5,8,Female fail 20,No,No,0,-,-,-,,9,F20_F,5.363636,2.090909,4.787879,4.233333,4.5,4.722222,,6,6,5.431818,5.454545,5.704545,5.530303,1.863636,1.909091,1.886364
DoorBot,Jamie Siminoff,M,5,9,Male fail 7,No,No,0,-,-,-,,11,M7_F,5.777778,2.333333,4.518519,5.8,5.333333,5.466667,5.5,,5.5,5.555556,5.722222,5.777778,5.685185,1.722222,1.814815,1.768519
Slawsa,Julie Busha,F,5,9,Female fail 22,No,No,0,-,-,-,,12,F22_F,3.727273,4.636364,2.515152,3.166667,2.722222,2.944444,,5.4,5.4,4.545455,3.954545,4.136364,4.212121,3.204545,3.212121,3.208333
Chocomize,Joe Dauenhauer,M,5,10,Male fail 6,Yes,No,1,-,-,-,,13,M6_F,6.727273,1.181818,5.515152,6.08,5.8,5.933333,5.666667,,5.666667,6.022727,6.159091,6.545455,6.242424,1.204545,1.090909,1.147727
Virtuix Omni,Jan Goetgeluk,M,5,11,Male fail 25,No,No,0,-,-,-,,15,M25_F,6.538462,1.461538,5.564103,5.914286,6.190476,4.761905,6.166667,,6.166667,5.346154,5.596154,6.096154,5.679487,1.653846,1.538462,1.596154
Lite-netics,Shawn Genenbacher,M,5,12,Male fail 12,Yes,No,2,-,-,-,,14,M12_F,5.818182,2.272727,5.060606,4.88,5.266667,5.8,5.333333,,5.333333,5.954545,5.431818,5.454545,5.613636,2.272727,1.363636,1.818182
Eyebloc,CJ Isakow,M,5,13,Male fail 9,No,No,0,-,-,-,,19,M9_F,4.2,3.6,3.666667,4.9,3.166667,4,3.833333,,3.833333,5.325,4.725,4.45,4.833333,2.975,2.766667,2.870833
Alaska Glacial Mud,Lauren Padawer,F,5,14,Female fail 1,No,No,0,-,-,-,,16,F1_F,5.583333,2.25,4.5,5.4,4.388889,4.833333,,5.166667,5.166667,5.916667,5.333333,5.270833,5.506944,1.958333,1.611111,1.784722
Balloon Distractions,Ben Alexander,M,5,14,Male fail 1,No,No,0,-,-,-,,17,M1_F,4.4,3.5,3.9,5.333333,5.055556,4.777778,3.5,,3.5,6.325,4.8,5.075,5.4,2.275,1.933333,2.104167
FitDeck,Phil Black,M,5,15,Male fail 10,No,No,0,-,-,-,,22,M10_F,6,2.333333,4.444444,4.9,4.111111,4.5,5.666667,,5.666667,5.25,5.395833,5.5625,5.402778,2.020833,1.694444,1.857639
Freshly Picked,Susan Peterson,F,5,15,Female success 8,Yes,Yes,2,1.5,0.6,40,,21,F8_S,4.7,3.3,4.433333,4.4,3.8,3.8,,5.8,5.8,4.85,4.8,4.925,4.858333,2.8,2.166667,2.483333
LifeCaps,Daryl Stevenett,M,5,15,Male fail 11,No,No,0,-,-,-,,20,M11_F,5.083333,2.833333,3.694444,4.466667,3.388889,3.944444,5,,5,4.708333,4.645833,4.375,4.576389,2.875,2.194444,2.534722
Nexersys,Terry Jones,M,5,16,Male fail 17,No,No,0,-,-,-,,23,M17_F,6.333333,1.75,4.972222,5.266667,5.111111,5.611111,6.5,,6.5,6.125,5.958333,6.145833,6.076389,1.645833,1.388889,1.517361
Moberi,Ryan Carpenter,M,5,17,Male fail 15,No,No,0,-,-,-,,24,M15_F,6.090909,1.909091,4.969697,5.12,3.466667,4.866667,4.5,,4.5,6.090909,5.636364,5.560606,5.762626,1.69697,1.636364,1.666667
Buzzy,Amy Baxter,F,5,18,Female fail 2,Yes,No,3,-,-,-,,25,F2_F,6,1.833333,4.666667,4.8,3.666667,3.888889,,5,5,5.916667,5.729167,6.041667,5.895833,1.270833,1.138889,1.204861
Cheek’d,Lori Cheek,F,5,18,Female fail 3,No,No,0,-,-,-,,26,F3_F,4.6,3.4,3.7,4.8,3.666667,4.533333,,5.2,5.2,5.3,4.975,4.85,5.041667,2.55,2.466667,2.508333
Revolights,Kent Frankovich,M,5,19,Male success 19,Yes,Yes,3,1.5,3,200,,27,M19_S,5.9,1.8,4.833333,5.966667,5.333333,4.722222,6.25,,6.25,5.15,5.475,5.8,5.475,1.675,1.3,1.4875
Chapul,Pat Crowley,M,5,21,Male success 5,Yes,Yes,2,1,0.333,33.3,,29,M5_S,5.818182,1.818182,4.515152,6,4.277778,5.555556,5.6,,5.6,6.227273,5.75,5.727273,5.901515,1.659091,1.454545,1.556818
Garage Door Lock,Bryan White,M,5,21,Male success 10,Yes,Yes,2,0.92,0.786,85.43,,28,M10_S,5.6,2.1,4.733333,5.833333,5.555556,4.722222,5,,5,5.575,5.5,5.75,5.608333,2,1.433333,1.716667
Morninghead,Max Valverde,M,5,21,Male fail 16,No,No,0,-,-,-,,18,M16_F,4.818182,3.727273,4.212121,4.6,3.333333,4.888889,4.6,,4.6,5.090909,4.909091,5.060606,5.020202,2.590909,2.924242,2.757576
Happy Feet,Pat Yates,M,5,23,Male success 12,Yes,Yes,2,2.5,1.5,60,,30,M12_S,5.833333,1.916667,4.694444,4.733333,4.166667,5,5.333333,,5.333333,5.875,5.5,5.583333,5.652778,1.625,1.305556,1.465278
Fort Magic,Erika Pope,F,5,25,Female fail 9,Yes,No,1,-,-,-,,32,F9_F,5.9,2,4.6,5.05,4.083333,4.666667,,5.333333,5.333333,6.075,5.55,5.675,5.766667,1.725,1.5,1.6125
Bon Affair,Jayla Siciliano,F,5,28,Female success 2,Yes,Yes,1,0.43,0.43,100,,31,F2_S,6,1.583333,5.333333,5.5,4.944444,5.611111,,5.833333,5.833333,5.895833,5.5,5.875,5.756944,1.8125,1.833333,1.822917
