Company/Product,Founder,Gender,Season,Episode,Deal Offered,Unprofessional,Deal Made,Valuation Sought (in M),Valuation Got (M),Percentage Got,Notes
180 CUP,Soloman Falls,M,5,7,Yes,,Yes,2,1.2,60,
Tree T Pee,Johnny Georges,M,5,7,Yes,,Yes,0.75,0.75,100,
Fairytale Wishes,Debbie Glickman,F,5,3,No,,No,-,-,-,
Postcard On The Run,Josh Brooks,M,5,1,Yes,,Yes,6,4,66.67,
Man Medals,Jim O’Brien,M,5,2,No,,No,-,-,-,
Sunday Night Slow Jams,R Dub,M,5,4,No,,No,-,-,-,
PetPaint,Abe Geary,M,5,8,Yes,,No,-,-,-,
Paparazzi Proposals,James Ambler,M,5,8,Yes,,Yes,1.25,N/A,N/A,$50k for a 33% stake + $200k as a loan
Schulzies Bread Pudding,Sarah Schulz,F,5,8,No,,No,-,-,-,
Ten Thirty One Productions,Melissa Carbone,F,5,6,Yes,,Yes,20,10,50,
DoorBot,Jamie Siminoff,M,5,9,No,,No,-,-,-,
Slawsa,Julie Busha,F,5,9,No,,No,-,-,-,
Chocomize,Joe Dauenhauer,M,5,10,Yes,,No,-,-,-,
Lite-netics,Shawn Genenbacher,M,5,12,Yes,,No,-,-,-,
Virtuix Omni,Jan Goetgeluk,M,5,11,No,,No,-,-,-,
Alaska Glacial Mud,Lauren Padawer,F,5,14,No,,No,-,-,-,
Balloon Distractions,Ben Alexander,M,5,14,No,,No,-,-,-,
Morninghead,Max Valverde,M,5,21,No,,No,-,-,-,
Eyebloc,CJ Isakow,M,5,13,No,,No,-,-,-,
LifeCaps,Daryl Stevenett,M,5,15,No,Yes,No,-,-,-,
Freshly Picked,Susan Peterson,F,5,15,Yes,,Yes,1.5,0.6,40,
FitDeck,Phil Black,M,5,15,No,,No,-,-,-,
Nexersys,Terry Jones,M,5,16,No,,No,-,-,-,
Moberi,Ryan Carpenter,M,5,17,No,,No,-,-,-,
Buzzy,Amy Baxter,F,5,18,Yes,Yes,No,-,-,-,
Cheek’d,Lori Cheek,F,5,18,No,,No,-,-,-,
Revolights,Kent Frankovich,M,5,19,Yes,Yes,Yes,1.5,3,200,
Garage Door Lock,Bryan White,M,5,21,Yes,Yes,Yes,0.92,0.786,85.43,
Chapul,Pat Crowley,M,5,21,Yes,,Yes,1,0.333,33.3,
Happy Feet,Pat Yates,M,5,23,Yes,,Yes,2.5,1.5,60,
Bon Affair,Jayla Siciliano,F,5,28,Yes,,Yes,0.43,0.43,100,
Fort Magic,Erika Pope,F,5,25,Yes,,No,-,-,-,
HeartPup,Anastasia Heart,F,6,3,Yes,,Yes,0.25,0.125,50,
Table Jack,Steve Christian,M,6,4,No,,No,-,-,-,
The Oilerie,Curt Campbell,M,6,6,No,,No,-,-,-,
The Caddy Girls,Meghan Tarmey,F,6,5,Yes,,No,-,-,-,
BeardBrand,Eric Bandholz,M,6,7,No,,No,-,-,-,
Myself Belts,Talia,F,6,7,Yes,,Yes,0.6,0.3,50,
TITIN,Patrick Whaley,M,6,7,Yes,Yes,Yes,10,2.5,25,
Storm Stoppers,John Smith,M,6,9,No,Yes,No,-,-,-,
Heidi Ho,Heidi Lovig,F,6,9,Yes,,Yes,0.63,0.417,66.19,
The Natural Grip,Ashley Drake,F,6,8,Yes,,Yes,0.5,0.5,100,
Man-Pack,Aaron Tweedie,M,6,8,No,Yes,No,-,-,-,
Zipz,Andrew McMurray,M,6,11,Yes,,Yes,25,25,100,
Biaggi,Stephen Hersh,M,6,11,Yes,,Yes,1.667,1.5,89.98,
Off the Cob Tortilla Chips,Cameron Sheldrake,M,6,10,No,,No,-,-,-,
EarthLog,Tom Sanetti,M,6,10,Yes,,Yes,0.8,0.457,57.13,
Skinny Shirt,Julie Kalimian,F,6,13,No,,No,-,-,-,
Doorman,Zander Adell,M,6,13,Yes,,Yes,2.5,2.083,83.32,
Mensch on a Bench,Neal Hoffman,M,6,12,Yes,,Yes,1.5,1,66.67,
Hoppy Paws,Trina Barkouras,F,6,12,Yes,,Yes,0.5,0.204,40.8,
EveDrop,Nathan Shaffer,M,6,12,No,Yes,No,-,-,-,
TycoonRE,Aaron McDaniel,M,6,16,Yes,Yes,No,-,-,-,
NicePipes,Lisa Binderow,F,8,13,Yes,,No,-,-,-,
Bello Verde,Joseph Chay,M,6,15,Yes,Yes,No,-,-,-,
Lumi,Jesse Genet,F,6,19,Yes,Yes,No,-,-,-,
Gold Rush Nugget Bucket,Mark Peterson,M,6,19,Yes,,Yes,0.4,0.24,60,
The BoobyPack,Christina Conrad,F,6,19,Yes,,Yes,0.4,0.32,80,
FunBites,Bobbie Rhoads,F,6,18,Yes,,Yes,0.375,0.3,80,
BeverageBoy,Kevin Waltermire,M,6,18,Yes,,Yes,0.333,0.143,42.94,
Fresh Patch,Andrew Feld,M,6,17,Yes,,Yes,1.5,0.75,50,
BedJet,Mark Aramli,M,6,17,No,Yes,No,-,-,-,
PullyPalz,Julie Thompson,F,6,24,Yes,,Yes,0.5,0.357,71.4,
Naja,Catalina Girald,F,6,22,No,Yes,No,-,-,-,
Gato Cafe,Adriana Montano,F,6,29,No,,No,-,-,-,
Paleo Diet Foods,Shauna Sledge,F,6,27,No,,No,-,-,-,
ezpz,Lindsey Laurain,F,7,13,Yes,,No,-,-,-,
Sarah Oliver Handbags ,Sarah Oliver,F,7,10,Yes,,Yes,1.25,0.833,66.64,
BetterBack,Katherine Krug,F,7,20,Yes,,Yes,10,N/A,N/A,$750k as a loan for 36 months at 7.5% interest + 8% equity
Rags to Raches,Rachel Nilsson,F,7,19,Yes,,Yes,2,1.333,66.65,
TuTuBlue,Sarah Buxton,F,7,18,No,,No,-,-,-,
Float Baby,Kristi Ison,F,7,17,No,,No,-,-,-,
Major Mom,Angela Cody-Rouget,F,7,16,No,,No,-,-,-,
Dollop Gourmet,Heather Saffer,F,7,27,Yes,,Yes,0.375,0.3,80,
FashionTap,Amy Roiland,F,7,26,Yes,,No,-,-,-,
InchBug,Brenda Lee Feldman,F,7,25,Yes,,No,-,-,-,
The Good Promise,Karen Posada,F,7,22,No,,No,-,-,-,
PMS Bites,Tania Green,F,7,29,No,,No,-,-,-,
GoodHangups,Leslie Pierson,F,8,2,Yes,,Yes,1,N/A,N/A,"$100k as a loan for a 10% stake, which increases to 20% if the loan is not repaid within a year"
The Style Club,Hillary Novelle Hahn,F,8,7,Yes,,Yes,2.5,N/A,N/A,$500k as a loan at 8% interest for a 22% stake
EcoFlower,Meagan Bowman,F,8,7,Yes,,Yes,4,2,50,
Sealed by Santa,Sarah Blain,F,8,11,Yes,,Yes,0.75,N/A,N/A,"$150k, $75k of it as a loan, for a 22.5% stake"
ENERGYbits,Catherine Arnston,F,8,9,No,,No,-,-,-,
Milk Snob,Melanie Disbrow,F,8,8,Yes,,Yes,2.5,1.5,60,
Sandilake,Melissa Lay,F,8,5,Yes,,No,-,-,-,
Little Nomad,Elizabeth Granados,F,8,15,No,,No,-,-,-,
Tranquilo,Melissa Gersin,F,8,16,Yes,,Yes,1,1.333,133.3,
The Sleep Styler,Tara Brown,F,8,19,Yes,,Yes,0.375,0.3,80,
DartDrones,Abby Speicher,F,8,18,Yes,,Yes,3,3,100,
Budsies,Alex Furmansky,M,6,24,Yes,,No,-,-,-,
Line Cutterz,Vance Zahorski,M,8,9,Yes,,Yes,0.6,0.364,60.67,
The Kooler,Stan Efferding,M,8,15,Yes,,Yes,0.333,0.15,45.05,
dBest Products,Richard Elden,M,8,15,Yes,,Yes,7,N/A,N/A,$350k for a 20% stake + a $2 million line of credit at 15% interest
PinBlock,Vladislav Smolyanskyy,M,8,13,Yes,,Yes,0.5,0.2,40,
Under the Weather,Rick Pescovitz,M,8,20,Yes,,Yes,6,4,66.67,
SeedSheet,Cam MacKugler,M,8,20,Yes,,Yes,5,2.5,50,
Blendtique,Billy Dim,M,8,19,Yes,,Yes,2.5,N/A,N/A,"$250,000 loan at 8% interest for 10% equity"
Peoples Designs,Tyler Peoples,M,8,23,Yes,,Yes,0.3,0.225,75,
Bridal Buddy,Heather Stenlake,F,8,24,Yes,,Yes,0.75,0.25,33.33,
Delighted by Dessert,Makenzie Marzluff,F,9,4,Yes,,Yes,5,2.4,48,
